Date,TGMV
2022-08-03,43758685.6
2022-08-04,42467710.11
2022-08-05,38732474.25
2022-08-06,35697637.92
2022-08-07,37593217.98
2022-08-08,46180359.34
2022-08-09,45422749.2
2022-08-10,43485836.21
2022-08-11,43744318.01
2022-08-12,41530977.12
2022-08-13,36838279.89
2022-08-14,39724239.83
2022-08-15,52292530.35
2022-08-16,53103714.57
2022-08-17,50131433.63
2022-08-18,47247986.9
2022-08-19,43589857.48
2022-08-20,39032725.3
2022-08-21,42288438.06
2022-08-22,49374570.53
2022-08-23,50905701.64
2022-08-24,48628761.95
2022-08-25,45390647.21
2022-08-26,40660729.24
2022-08-27,37029768.97
2022-08-28,37191223.92
2022-08-29,41896019.46
2022-08-30,42877883.16
2022-08-31,43267424.2
2022-09-01,43570772.84
2022-09-02,39275173.41
2022-09-03,36018690.61
2022-09-04,39062195.81
2022-09-05,44790962.1
2022-09-06,45966735.92
2022-09-07,44382546.66
2022-09-08,40233595.04
2022-09-09,39789223.77
2022-09-10,34416629.09
2022-09-11,39168820.29
2022-09-12,43136642.68
2022-09-13,41651772.72
2022-09-14,38323411.04
2022-09-15,33523514.98
2022-09-16,34273623.75
2022-09-17,34742070.78
2022-09-18,35714578.17
2022-09-19,38577256.51
2022-09-20,39908791.83
2022-09-21,39854881.84
2022-09-22,37727442.32
2022-09-23,34484468.63
2022-09-24,31326509.25
2022-09-25,34934256.05
2022-09-26,43150770.32
2022-09-27,40046083.68
2022-09-28,40478592.36
2022-09-29,39879207.11
2022-09-30,37427507.08
2022-10-01,35601160.03
2022-10-02,38306803.93
2022-10-03,47292164.1
2022-10-04,45852613.59
2022-10-05,46341976.94
2022-10-06,47153581.82
2022-10-07,41589665.83
2022-10-08,39592458.89
2022-10-09,42993304.11
2022-10-10,48798118.89
2022-10-11,48101726.01
2022-10-12,46196290.43
2022-10-13,43477237.33
2022-10-14,42417920.93
2022-10-15,38543288.24
2022-10-16,42233449.6
2022-10-17,47624141.7
2022-10-18,49824286.14
2022-10-19,48316737.01
