Date,TGMV,plan
2022-05-27,45715241.79,45715241.79
2022-05-28,38920534.55,38920534.55
2022-05-29,42399096.81,42399096.81
2022-05-30,48160639.79,48160639.79
2022-05-31,59331514.36,59331514.36
2022-06-01,43556886.85,43556886.85
2022-06-02,37575343.44,37575343.44
2022-06-03,33290785.17,33290785.17
2022-06-04,30130662.93,30130662.93
2022-06-05,32583444.68,32583444.68
2022-06-06,40179728.17,40179728.17
2022-06-07,40128800.78,40128800.78
2022-06-08,40177078.78,40177078.78
2022-06-09,38631164.32,38631164.32
2022-06-10,35480167.75,35480167.75
2022-06-11,33582637.88,33582637.88
2022-06-12,35697061.11,35697061.11
2022-06-13,45012412.88,45012412.88
2022-06-14,47158079.85,47158079.85
2022-06-15,52333309.97,52333309.97
2022-06-16,49797994.56,49797994.56
2022-06-17,42513252.9,42513252.9
2022-06-18,34915160.66,34915160.66
2022-06-19,33129011.73,33129011.73
2022-06-20,37336419.6,37336419.6
2022-06-21,38423119.75,38423119.75
2022-06-22,38937787.52,38937787.52
2022-06-23,36137750.05,36137750.05
2022-06-24,30371708.08,30371708.08
2022-06-25,28355995.98,28355995.98
2022-06-26,31492960.98,31492960.98
2022-06-27,39877917.78,39877917.78
2022-06-28,40755021.02,40755021.02
2022-06-29,38244998.48,38244998.48
2022-06-30,37559124.43,37559124.43
2022-07-01,36798209.25,36798209.25
2022-07-02,33371575.46,33371575.46
2022-07-03,34890431.54,34890431.54
2022-07-04,40979042.39,40979042.39
2022-07-05,41409079.3,41409079.3
2022-07-06,43412037.41,43412037.41
2022-07-07,40624773.78,40624773.78
2022-07-08,36166256.01,36166256.01
2022-07-09,32927647.06,32927647.06
2022-07-10,35520068.82,35520068.82
2022-07-11,46342608.53,46342608.53
2022-07-12,44549184.28,44549184.28
2022-07-13,45629177.81,45629177.81
2022-07-14,40972562.08,40972562.08
2022-07-15,38392900.98,38392900.98
2022-07-16,34287893.44,34287893.44
2022-07-17,37542918.8,37542918.8
2022-07-18,42797007.99,42797007.99
2022-07-19,41716797.34,41716797.34
2022-07-20,41612858.4,41612858.4
2022-07-21,40339837.34,40339837.34
2022-07-22,36041341.11,36041341.11
2022-07-23,32801961.24,32801961.24
2022-07-24,33907836.35,33907836.35
2022-07-25,40738194.89,40738194.89
2022-07-26,41213852.2,41213852.2
2022-07-27,41727418.56,41727418.56
2022-07-28,40169473.7,40169473.7
2022-07-29,37905321.24,37905321.24
2022-07-30,34268324.44,34268324.44
2022-07-31,35774484.2,35774484.2
2022-08-01,44318801.84,44318801.84
2022-08-02,44305639.39,44305639.39
2022-08-03,43758685.6,43758685.6
2022-08-04,42467710.11,42467710.11
2022-08-05,38732474.25,38732474.25
2022-08-06,35697637.92,35697637.92
2022-08-07,37593217.98,37593217.98
2022-08-08,46180359.34,46180359.34
2022-08-09,45422749.2,45422749.2
2022-08-10,43485836.21,43485836.21
2022-08-11,43744318.01,43744318.01
2022-08-12,41530977.12,41530977.12
2022-08-13,36838279.89,36838279.89
2022-08-14,39724239.83,39724239.83
2022-08-15,52292530.35,52292530.35
2022-08-16,53103714.57,53103714.57
2022-08-17,50131433.63,50131433.63
2022-08-18,47247986.9,47247986.9
2022-08-19,43589857.48,43589857.48
2022-08-20,39032725.3,39032725.3
2022-08-21,42288438.06,42288438.06
2022-08-22,49374570.53,49374570.53
2022-08-23,50905701.64,50905701.64
2022-08-24,48628761.95,48628761.95
2022-08-25,45390647.21,45390647.21
2022-08-26,40660729.24,40660729.24
2022-08-27,37029768.97,37029768.97
2022-08-28,37191223.92,37191223.92
2022-08-29,41896019.46,41896019.46
2022-08-30,42877883.16,42877883.16
2022-08-31,43267424.2,43267424.2
2022-09-01,43570772.84,43570772.84
2022-09-02,39275173.41,39275173.41
2022-09-03,36018690.61,36018690.61
2022-09-04,39062195.81,39062195.81
2022-09-05,44790962.1,44790962.1
2022-09-06,45966735.92,45966735.92
2022-09-07,44382546.66,44382546.66
2022-09-08,40233595.04,40233595.04
2022-09-09,39789223.77,39789223.77
2022-09-10,34416629.09,34416629.09
2022-09-11,39168820.29,39168820.29
2022-09-12,43136642.68,43136642.68
2022-09-13,41651772.72,41651772.72
2022-09-14,38323411.04,38323411.04
2022-09-15,33523514.98,33523514.98
2022-09-16,34273623.75,34273623.75
2022-09-17,34742070.78,34742070.78
2022-09-18,35714578.17,35714578.17
2022-09-19,38577256.51,38577256.51
2022-09-20,39908791.83,39908791.83
2022-09-21,39854881.84,39854881.84
2022-09-22,37727442.32,37727442.32
2022-09-23,34484468.63,34484468.63
2022-09-24,31326509.25,31326509.25
2022-09-25,34934256.05,34934256.05
2022-09-26,43150770.32,43150770.32
2022-09-27,40046083.68,40046083.68
2022-09-28,40478592.36,40478592.36
2022-09-29,39879207.11,39879207.11
2022-09-30,37427507.08,37427507.08
2022-10-01,35601160.03,35601160.03
2022-10-02,38306803.93,38306803.93
2022-10-03,47292164.1,47292164.1
2022-10-04,45852613.59,45852613.59
2022-10-05,46341976.94,46341976.94
2022-10-06,47153581.82,47153581.82
2022-10-07,41589665.83,41589665.83
2022-10-08,39592458.89,39592458.89
2022-10-09,42993304.11,42993304.11
2022-10-10,48798118.89,48798118.89
2022-10-11,48101726.01,48101726.01
2022-10-12,46196290.43,46196290.43
2022-10-13,43477237.33,43477237.33
2022-10-14,42417920.93,42417920.93
2022-10-15,38543288.24,38543288.24
2022-10-16,42233449.6,42233449.6
2022-10-17,47624141.7,47624141.7
2022-10-18,49824286.14,49824286.14
2022-10-19,48316737.01,48316737.01
2022-10-20,46279789.22,46279789.22
2022-10-21,40353140.84,40353140.84
2022-10-22,35857210.68,35857210.68
2022-10-23,40750391.75,40750391.75
2022-10-24,48018764.05,48018764.05
2022-10-25,48471740.91,48471740.91
2022-10-26,46306705.61,46306705.61
2022-10-27,43170269.34,43170269.34
2022-10-28,37981091.1,37981091.1
2022-10-29,33382384.24,33382384.24
2022-10-30,34925924.53,34925924.53
2022-10-31,38930149.65,38930149.65
2022-11-01,40911108.29,40911108.29
2022-11-02,42837986.25,42837986.25
2022-11-03,45389038.79,45389038.79
2022-11-04,43534875.15,43534875.15
2022-11-05,39752289.7,39752289.7
2022-11-06,43808525.3,43808525.3
2022-11-07,49866112.21,49866112.21
2022-11-08,49575104.5,49575104.5
2022-11-09,47671420.93,47671420.93
2022-11-10,46150613.16,46150613.16
2022-11-11,43370444.04,43370444.04
2022-11-12,41934639.78,41934639.78
2022-11-13,45199068.75,45199068.75
2022-11-14,60712688.05,60712688.05
2022-11-15,64611384.93,64611384.93
2022-11-16,66453379.77,66453379.77
2022-11-17,71047742.39,71047742.39
2022-11-18,111354688.08,111354688.08
2022-11-19,102030659.91,102030659.91
2022-11-20,109053875.47,109053875.47
2022-11-21,128708227.84,128708227.84
2022-11-22,68175792.57,68175792.57
2022-11-23,50033291.74,50033291.74
2022-11-24,51740911.21,51740911.21
2022-11-25,54689234.89,54689234.89
2022-11-26,47654338.42,47654338.42
2022-11-27,49910903.57,49910903.57
2022-11-28,62223617.85,62223617.85
2022-11-29,60464582.16,60464582.16
2022-11-30,57762537.16,57762537.16
2022-12-01,60576452.96,60576452.96
2022-12-02,64516269.67,64516269.67
2022-12-03,59563405.11,59563405.11
2022-12-04,64599435.85,64599435.85
2022-12-05,75985703.96,75985703.96
2022-12-06,77826978.81,77826978.81
2022-12-07,76804108.28,76804108.28
