Date,TGMV
03/09/2022,36018690.61
04/09/2022,39062195.81
05/09/2022,44790962.10
06/09/2022,45966735.92
07/09/2022,44382546.66
08/09/2022,40233595.04
09/09/2022,39789223.77
10/09/2022,34416629.09
11/09/2022,39168820.29
12/09/2022,43136642.68
13/09/2022,41651772.72
14/09/2022,38323411.04
15/09/2022,33523514.98
16/09/2022,34273623.75
17/09/2022,34742070.78
18/09/2022,35714578.17
19/09/2022,38577256.51
20/09/2022,39908791.83
21/09/2022,39854881.84
22/09/2022,37727442.32
23/09/2022,34484468.63
24/09/2022,31326509.25
25/09/2022,34934256.05
26/09/2022,43150770.32
27/09/2022,40046083.68
28/09/2022,40478592.36
29/09/2022,39879207.11
30/09/2022,37427507.08
01/10/2022,35601160.03
02/10/2022,38306803.93
03/10/2022,47292164.10
04/10/2022,45852613.59
05/10/2022,46341976.94
06/10/2022,47153581.82
07/10/2022,41589665.83
08/10/2022,39592458.89
09/10/2022,42993304.11
10/10/2022,48798118.89
11/10/2022,48101726.01
12/10/2022,46196290.43
13/10/2022,43477237.33
14/10/2022,42417920.93
15/10/2022,38543288.24
16/10/2022,42233449.60
17/10/2022,47624141.70
18/10/2022,49824286.14
19/10/2022,48316737.01
20/10/2022,46279789.22
21/10/2022,40353140.84
22/10/2022,35857210.68
23/10/2022,40750391.75
24/10/2022,48018764.05
25/10/2022,48471740.91
26/10/2022,46306705.61
27/10/2022,43170269.34
28/10/2022,37981091.10
29/10/2022,33382384.24
30/10/2022,34925924.53
31/10/2022,38930149.65
01/11/2022,40911108.29
02/11/2022,42837986.25
03/11/2022,45389038.79
04/11/2022,43534875.15
05/11/2022,39752289.70
06/11/2022,43808525.30
07/11/2022,49866112.21
08/11/2022,49575104.50
09/11/2022,47671420.93
10/11/2022,46150613.16
11/11/2022,43370444.04
12/11/2022,41934639.78
13/11/2022,45199068.75
14/11/2022,60712688.05
15/11/2022,64611384.93
16/11/2022,66453379.77
17/11/2022,71047742.39
18/11/2022,111354688.08
19/11/2022,102030659.91
20/11/2022,109053875.47
21/11/2022,128708227.84
22/11/2022,68175792.57
23/11/2022,50033291.74
24/11/2022,51740911.21
25/11/2022,54689234.89
26/11/2022,47654338.42
27/11/2022,49910903.57
28/11/2022,62223617.85
29/11/2022,60464582.16
30/11/2022,57762537.16
01/12/2022,60576452.96
02/12/2022,64516269.67
03/12/2022,59563405.11
04/12/2022,64599435.85
05/12/2022,75985703.96
06/12/2022,77826978.81
07/12/2022,76804108.28
08/12/2022,76320858.85
09/12/2022,71289527.24
10/12/2022,70947688.08
11/12/2022,79101347.35
12/12/2022,96481606.25
13/12/2022,98471357.39
14/12/2022,103286626.06
15/12/2022,107707960.00
16/12/2022,103946645.48
17/12/2022,98318058.32
18/12/2022,101501151.12
19/12/2022,123578088.70
20/12/2022,108263897.85
21/12/2022,88922172.87
22/12/2022,70027314.08
23/12/2022,55507178.95
24/12/2022,42526657.73
25/12/2022,41445143.82
26/12/2022,67132366.77
27/12/2022,69056614.57
28/12/2022,62757398.37
29/12/2022,56118546.47
30/12/2022,47335906.58
31/12/2022,36288155.33
01/01/2023,31976086.92
02/01/2023,59064116.08
03/01/2023,62123844.21
04/01/2023,61421134.26
05/01/2023,51528281.86
06/01/2023,50848092.86
07/01/2023,45289046.13
08/01/2023,47552596.00
09/01/2023,53101206.24
10/01/2023,54056186.10
11/01/2023,54020745.26
12/01/2023,51740791.48
13/01/2023,51634564.82
14/01/2023,47479803.18
15/01/2023,51037846.96
16/01/2023,56543206.71
17/01/2023,54875788.96
18/01/2023,53116539.86
19/01/2023,50693247.75
20/01/2023,45515256.21
21/01/2023,41368476.75
22/01/2023,43467066.25
23/01/2023,50933436.21
24/01/2023,51524151.62
25/01/2023,51887384.46
26/01/2023,47648538.42
27/01/2023,46478012.62
28/01/2023,43078080.26
29/01/2023,45277246.46
30/01/2023,52382581.16
31/01/2023,55268604.99
01/02/2023,56535171.43
02/02/2023,53534870.11
03/02/2023,50152416.47
04/02/2023,44102221.57
05/02/2023,44865549.50
06/02/2023,56303571.79
07/02/2023,56577863.19
08/02/2023,56778485.22
09/02/2023,57245445.63
10/02/2023,55456635.29
11/02/2023,52138119.23
12/02/2023,53430186.02
13/02/2023,58601715.64
14/02/2023,48877142.08
15/02/2023,52588824.64
16/02/2023,51059897.90
17/02/2023,46173042.68
18/02/2023,43931756.07
19/02/2023,45006793.76
20/02/2023,52094851.19
21/02/2023,50272237.51
22/02/2023,46821932.23
23/02/2023,45542871.36
24/02/2023,42061337.72
25/02/2023,39222155.40
26/02/2023,40830169.26
27/02/2023,47394213.03
28/02/2023,48282152.96
01/03/2023,53308517.37
02/03/2023,51948213.53
03/03/2023,45434648.02
04/03/2023,41437741.73
05/03/2023,44873299.38
06/03/2023,52544009.03
07/03/2023,50598814.23
08/03/2023,48842131.37
09/03/2023,48730195.03
10/03/2023,44036243.61
11/03/2023,40343028.85
12/03/2023,42315006.47
13/03/2023,50461490.11
14/03/2023,51154489.18
15/03/2023,55494531.46
16/03/2023,52066543.12
17/03/2023,47195174.09
18/03/2023,40954682.34
19/03/2023,42108837.07
20/03/2023,46821808.22
21/03/2023,47178860.78
